[INFO] [2019-12-13 00:42:46] AbstractApplicationContext.prepareRefresh(583) | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@161cd475: startup date [Fri Dec 13 00:42:46 CST 2019]; root of context hierarchy
[INFO] [2019-12-13 00:42:47] XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [applicationContext.xml]
[INFO] [2019-12-13 00:42:50] ChannelConnections.init(366) |  add connected node: 127.0.0.1:20200
[INFO] [2019-12-13 00:42:52] ChannelConnections.reconnect(503) | try connect to: 127.0.0.1:20200
[INFO] [2019-12-13 00:42:52] ConnectionCallback.onConnect(91) |  connect 127.0.0.1:20200 success, ctx: 1028806856
[INFO] [2019-12-13 00:42:53] ConnectionCallback.queryNodeVersion(207) |  query node version host: 127.0.0.1:20200, seq: 8b591cd4f01a489dbad78a6e5d65ec42, content: {"jsonrpc":"2.0","method":"getClientVersion","params":[],"id":0}
[INFO] [2019-12-13 00:42:53] ConnectionCallback$2.onResponse(258) |  node: Version [buildTime=20190923 13:22:09, buildType=Linux/clang/Release, chainID=1, version=2.1.0, gitBranch=HEAD, gitCommit=cb68124d4fbf3df563a57dfff5f0c6eedc1419cc, supportedVersion=2.1.0], content: {"id":0,"jsonrpc":"2.0","result":{"Build Time":"20190923 13:22:09","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.1.0","Git Branch":"HEAD","Git Commit Hash":"cb68124d4fbf3df563a57dfff5f0c6eedc1419cc","Supported Version":"2.1.0"}}

[INFO] [2019-12-13 00:42:53] ConnectionCallback$2.onResponse(267) |  support channel handshake node: Version [buildTime=20190923 13:22:09, buildType=Linux/clang/Release, chainID=1, version=2.1.0, gitBranch=HEAD, gitCommit=cb68124d4fbf3df563a57dfff5f0c6eedc1419cc, supportedVersion=2.1.0], content: {"id":0,"jsonrpc":"2.0","result":{"Build Time":"20190923 13:22:09","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.1.0","Git Branch":"HEAD","Git Commit Hash":"cb68124d4fbf3df563a57dfff5f0c6eedc1419cc","Supported Version":"2.1.0"}}

[INFO] [2019-12-13 00:42:53] ConnectionCallback$1.onResponse(167) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20200, channel protocol: ChannelProtocol [protocol=2, nodeVersion=2.1.0, EnumProtocol=VERSION_2]
[INFO] [2019-12-13 00:42:53] ConnectionCallback.subBlockNotification(338) |  send sub block notification request, seq: 0935ae45734942669c157c4090805ae4, content: ["_block_notify_1"]
[INFO] [2019-12-13 00:42:53] ConnectionCallback.queryBlockNumber(370) |  query block number host: 127.0.0.1:20200, seq: 5ca0f0c79eb04f8dab0a8df340cf4299, content: {"jsonrpc":"2.0","method":"getBlockNumber","params":[1],"id":1}
[INFO] [2019-12-13 00:42:53] ConnectionCallback$4.onResponse(395) |  query blocknumer, host:127.0.0.1:20200, blockNumber: 10 
[INFO] [2019-12-13 00:42:54] Async.run(19) |  default set setExeutor , pool size is 50
